"Year Code #
(based on 1st yr)","Model #
(randon)",Make,Model,1st Year of Production,Last Year of Production,Total # of Base Model Built,Highlights,
14,,Ford,GT40,1964,1969,105,"The Ford GT40 is a high-performance endurance racing car designed and built by the Ford Motor Company. It grew out of the ""Ford GT"" (for Grand Touring) project, an effort to compete in European long-distance sports car races, against Ferrari, who had won the prestigious 24 Hours of Le Mans race from 1960 to 1965. Ford succeeded with the GT40, winning the 1966 through 1969 races.

The ""40"" represented its height of 40 inches (1.02 m), measured at the windscreen, the minimum allowed. The first 12 ""prototype"" vehicles carried serial numbers GT-101 to GT-112. Once ""production"" began, the Mk I, Mk II, Mk III, and Mk IV were numbered GT40P/1000 through GT40P/1145, and thus officially ""GT40s"". The Mk IVs were numbered J1-J12.

The contemporary Ford GT is a modern homage to the GT40.

Henry Ford II had wanted a Ford at Le Mans since the early 1960s. In early 1963, Ford reportedly received word through a European intermediary that Enzo Ferrari was interested in selling to Ford Motor Company. Ford reportedly spent several million dollars in an audit of Ferrari factory assets and in legal negotiations, only to have Ferrari unilaterally cut off talks at a late stage due to disputes about the ability to direct open-wheel racing. Ferrari, who wanted to remain the sole operator of his company's motorsports division, was angered when he was told that he would not be allowed to race at the Indianapolis 500 if the deal went through, since Ford fielded Indy cars using its own engine and didn't want competition from Ferrari. Enzo cut the deal off out of spite and Henry Ford II, enraged, directed his racing division to find a company that could build a Ferrari-beater on the world endurance-racing circuit.",
14,,Ferrari,275 GTB ('Gran Turismo Berlinetta'),1964,1968,450,"The Ferrari 275 GTB was introduced in 1964 as a replacement for the Ferrari 250 GT Berlinetta Lusso. It was designed to be a high-performance grand touring car, combining luxury with racing-inspired engineering.

The design of the Ferrari 275 GTB was the work of Pininfarina, with input from Scaglietti, who handled the body construction. It featured a long hood, short rear deck, and elegant lines, typical of Italian sports cars of the era. The chassis was a steel tubular space frame, and the body panels were made of aluminum alloy, contributing to its lightweight construction. The 275 GTB was powered by a 3.3-liter Colombo V12 engine, producing around 280 to 300 horsepower, depending on the version. It was coupled with a manual gearbox, typically a five-speed transmission.

The Ferrari 275 GTB was offered in various configurations, including a standard coupe, a long-nose version with improved aerodynamics, and a competition-specification model known as the 275 GTB/C. The 275 GTB/C was specially designed for racing, featuring lightweight aluminum body panels, Plexiglas windows, and other modifications for improved performance on the track.

The Ferrari 275 GTB enjoyed success in motorsport, particularly in GT racing events. The 275 GTB/C variant achieved notable victories in races such as the 1966 24 Hours of Le Mans, where it secured class wins and podium finishes.

The Ferrari 275 GTB Spider made its debut in 1964 as a convertible version of the highly successful Ferrari 275 GTB Berlinetta. It was designed to offer open-top motoring with the same performance and style as its coupe counterpart. Fewer than 20 of the convertibles were made.

","Red convertible with no #

and

Yellow coupe #43"
14,,Ford Motor Company,"Mustang
(1st Generation)",1964,1973,"2,978,271","The Ford Mustang is an iconic American automobile that has played a significant role in automotive history, particularly in the realm of muscle cars and sports cars. The project was lead by Lee Iacocca who later went to work for Chrysler in the early '80's.

The Ford Mustang made its debut on April 17, 1964, at the New York World's Fair. It was introduced as a 1965 model, but its unveiling in 1964 generated immense excitement. The Mustang was marketed as a ""pony car,"" a new class of affordable, compact sports cars with long hoods and short rear decks.

Early Years (First Generation: 1964-1973): (Model shown is a 1970) The first-generation Mustang, often referred to as the ""1964½"" model, was an instant success. It offered various engine options, body styles (coupe, convertible, and fastback), and customization choices, appealing to a wide range of customers. It quickly became one of Ford's most successful launches:
UPGRADES TO EARLY YEARS:
-Several changes were made at the traditional opening of the new model year (beginning August 1964), including the addition of back-up lights on some models, the introduction of alternators to replace generators, an upgrade of the six-cylinder engine from 170 to 200 cu in (2.8 to 3.3 L) with an increase from 101 to 120 hp (75 to 89 kW), and an upgrade of the V8 engine from 260 to 289 cu in (4.3 to 4.7 L) with an increase from 164 to 210 hp (122 to 157 kW). The rush into production included some unusual quirks, such as the horn ring bearing the 'Ford Falcon' logo covered by a trim ring with a 'Ford Mustang' logo. These characteristics made enough difference to warrant designation of the 121,538 early versions as ""1964½"" Mustangs, a distinction that has endured with purists.
-Ford's designers began drawing up larger versions even as the original was achieving sales success, and while ""Iacocca later complained about the Mustang's growth, he did oversee the 1967 redesign.""[35] From 1967 until 1973, the Mustang got bigger but not necessarily more powerful.[36] The Mustang was facelifted, giving the Mustang a more massive look overall and allowing a big block engine to be offered for the first time. Front and rear end styling was more pronounced, and the ""twin cove"" instrument panel offered a thicker crash pad and larger gauges. Hardtop, fastback, and convertible body styles continued as before. Around this time, the Mustang was paired with a Mercury variant, called the Cougar, which used its own styling cues, such as a ""prowling cat"" logo and hidden quad headlamps. New safety regulations by the U.S. National Highway Traffic Safety Administration (NHTSA) for 1967 included an energy-absorbing steering column and wheel, 4-way emergency flashers, and a dual-circuit hydraulic braking system, and softer interior knobs. The 1968 models received revised side scoops, steering wheel, and gasoline caps. Side marker lights were also added that year, and cars built after January 1, 1968, included shoulder belts for both front seats on coupes. The 1968 models also introduced a new 302 cu in (4.9 L) V8 engine, designed with Federal emissions regulations in mind.

The 1969 restyle ""added more heft to the body as width and length again increased. Weight went up markedly too.""[35] Due to the larger body and revised front end styling, the 1969 models (but less so in 1970) had a notable aggressive stance. The 1969 models featured ""quad headlamps"" which disappeared to make way for a wider grille and a return to standard headlamps in the 1970 models. This switch back to standard headlamps was an attempt to tame the aggressive styling of the 1969 model, which some felt was too extreme and hurt sales, but 1969 production exceeded the 1970 total.

Evolution and Expansion (Second Generation: 1974-1978): The second-generation Mustang, introduced in 1974, underwent significant changes due to the oil crisis and changing market demands. It was based on the Ford Pinto platform and was smaller and more fuel-efficient than its predecessor. However, it received mixed reviews from enthusiasts.

Rebirth (Third Generation: 1979-1993): In 1979, Ford launched the third-generation Mustang, often referred to as the ""Fox-body"" Mustang. It marked a return to the Mustang's performance roots, offering a range of engines, including turbocharged four-cylinders, V6s, and V8s. It gained popularity both on the street and in motorsport.

Modernization and Globalization (Fourth Generation: 1994-2004): The fourth-generation Mustang, introduced in 1994, featured a more modern design while retaining the Mustang's classic styling cues. It was offered with powerful V6 and V8 engines, and special editions like the SVT Cobra and Mach 1 appealed to enthusiasts.

Retro Revival (Fifth Generation: 2005-2014): The fifth-generation Mustang, launched in 2005, brought back the iconic styling cues of the original Mustang while incorporating modern technology and performance. It was well-received for its retro design and potent V8 engine options, such as the 5.0-liter Coyote engine.

Global Icon (Sixth Generation: 2015-present): The current sixth-generation Mustang, introduced in 2015, represents a global approach to the Mustang's design and engineering. It is offered with turbocharged four-cylinder engines alongside V6 and V8 options. The Mustang continues to be a symbol of American automotive culture worldwide.

Throughout its history, the Ford Mustang has undergone numerous transformations, but its legacy as an American icon of performance, style, and affordability remains intact. It has inspired generations of automotive enthusiasts and continues to be a dominant force in the sports car market.",
15,,Mercedes Benz,"300 SEL
(W108/W109)",1965,1972,"6,526","The Mercedes-Benz 300 SEL is a historic model in the luxury sedan lineup of Mercedes-Benz, known for its exceptional comfort, performance, and innovative features.

The Mercedes-Benz 300 SEL was introduced in 1965 as a flagship luxury sedan. It was based on the W108/W109 (W109 was the more luxious version of the two which included walnut dashboards, automatic transmission, power windows along with air conditioning) chassis platform, which was also used for other Mercedes-Benz models of the time.

One of the most notable features of the 300 SEL was its advanced engineering. It was powered by a 3.0-liter inline-six engine, which was known for its smoothness and refinement. The car also featured self-leveling air suspension at the rear, providing a superior ride quality.

The ""SEL"" in the model name stands for ""Super Elegance Long,"" indicating its long wheelbase compared to the standard 300 SE model. The longer wheelbase provided additional interior space, especially in the rear passenger area, enhancing comfort.

The interior of the 300 SEL was appointed with high-quality materials and luxurious amenities, reflecting its position as a flagship model. Features such as wood trim, leather upholstery, and power-operated accessories were standard or available options.

The Mercedes-Benz 300 SEL incorporated several safety innovations typical of Mercedes-Benz vehicles of the era, including a robust body structure, crumple zones, and advanced braking systems.

The 300 SEL enjoyed success both in terms of sales and reputation, appealing to luxury car buyers who prioritized comfort, performance, and prestige. It evolved over its production run, receiving updates and improvements to keep it competitive in the luxury sedan market.",
15,,Alfa Romeo,Giulia GTA,1965,1971,500,"The Alfa Romeo Giulia GTA has a rich history in the automotive world, particularly in the realm of high-performance sports cars.

The Giulia GTA was first introduced in 1965 by the Italian automaker Alfa Romeo. It was based on the Giulia Sprint GT, which was already known for its sporty performance and elegant design.

The ""A"" in GTA stands for ""Alleggerita,"" which means ""lightened"" in Italian. The GTA was a high-performance version of the Giulia Sprint GT, featuring a number of modifications to enhance its performance and reduce weight.

The Giulia GTA featured lightweight body panels made from aluminum and other lightweight materials. It also had a tuned engine, upgraded suspension, and other performance enhancements. These modifications resulted in a car that was significantly lighter and more agile than the standard Giulia Sprint GT.

The Giulia GTA quickly gained a reputation for its racing prowess. It competed successfully in various motorsport events, including the European Touring Car Championship and the Italian Touring Car Championship. It won numerous races and championships, cementing its status as one of the most successful racing cars of its time.

Over the years, Alfa Romeo continued to refine and improve the GTA, releasing several different versions and variants. These included the GTA 1300 Junior, which was a smaller and more affordable version aimed at amateur racers and enthusiasts.

The Giulia GTA remains an iconic and highly sought-after car among collectors and enthusiasts. Its combination of classic Italian styling, high performance, and racing pedigree has made it a timeless classic in the automotive world.

In recent years, Alfa Romeo has revived the GTA nameplate with the introduction of the modern Giulia GTA in 2020. This new version pays homage to the original while incorporating the latest automotive technology and engineering advancements.",
15,,BMW,"02 Series
(1502, 1602, 1802, 2002, 2002 tii)",1966,1977,"837,038","In the mid-1960s BMW perceived a market for a smaller, more affordable, two-door version of its four-door New Class executive sedan. Corporate design director Wilhelm Hofmeister assigned the project to staffers Georg Bertram and Manfred Rennen,[1] who produced an attractive and sporty car 5 cm (2 in) shorter in wheelbase and some 25 cm (10 in) shorter in length, mainly by bobbing the rear deck. [2][3] The resulting 1966 production 1600-2 was less well-appointed than the New Class, but lighter, faster, and better handling.

The larger displacement 2002 directly derived from it in 1968 would go on to establish a new reputation for BMW as a maker of high-quality affordable performance vehicles. Its combination of agility, performance, and affordability made it immensely popular, particularly in the enthusiast community.

Cabriolet, targa, hatchback, and economy versions of various ""02"" Series models were also produced. The 02 Series laid the foundation for BMW's future success as a manufacturer of sporty, compact cars. Its influence can still be seen in modern BMW models, particularly in the brand's focus on driving dynamics and performance.

The BMW 2002 achieved notable success in motorsport, further cementing its reputation as a driver's car. It competed in various racing events, including the European Touring Car Championship (ETCC), where it often outperformed larger, more powerful competitors.

The 02 Series is considered by most to be the first model to define the 'Sports Touring' automobile segment that continues to this day. The 02 Series ceased production in 1977, replaced by the BMW 3 Series, which continued the tradition of compact, sporty cars for the brand.

Overall, the BMW 02 Series 1st generation, particularly the 2002 model, remains a beloved classic among automotive enthusiasts and collectors, revered for its timeless design and engaging driving experience.",
15,,Lamborghini,Miura,1966,1973,762,"The Lamborghini Miura is a sports car produced by Italian automaker Lamborghini between 1966 and 1973. The car was the first supercar with a rear mid-engined two-seat layout, although the concept was first seen in a production road car with René Bonnet's Matra Djet, introduced in 1964.[4] This layout has since become the standard for high-performance sports and supercars.[5] When released, it was the fastest production road car.[6]

The Miura was originally conceived by Lamborghini's engineering team, which designed the car in its spare time against the wishes[citation needed] of company founder Ferruccio Lamborghini, who preferred powerful yet sedate grand touring cars over the race car-derived machines produced by local rival Ferrari.

The Miura's rolling chassis was presented at the 1965 Turin Auto Show, and the prototype P400 debuted at the 1966 Geneva Motor Show. It received stellar receptions from showgoers and the motoring press alike, each impressed by Marcello Gandini's sleek styling and the car's revolutionary mid-engine design.

Lamborghini's flagship, the Miura received periodic updates and remained in production until 1973. A year later the Countach entered the company's lineup, amid tumultuous financial times for the company.",
15,,Porsche,"910
(Carrera 10)",1966,1967,29,"The Porsche 910 or Carrera 10 was a race car from Porsche, based on the Porsche 906. 29 were produced and were raced in 1966 and 1967.[1] The factory name for the 910 was the 906/10. The 910 was considered the next sequence in the 906 line.

The Porsche 910 was entered in mid 1966, starting with the 1966 European Hill Climb Championship from Sierre to Crans-Montana in Switzerland. Engines used were 1991cc 6-cylinder (901/20, Weber 46IDA3C) with 200 hp (149 kW), 1991cc 6-cylinder (901/21, MFI Slide Throttle) with 220 hp (164 kW), 2195cc 6-cylinder (907, MFI) with 270 hp (201 kW), or the 1981cc 8-cylinder (771, MFI) with up to 275 hp (205 kW). The 8 cylinder version was referred to as 910/8.

The 910 was only raced for about one year by the factory. The main class rivals were the Ferrari-fielded Dino 206 P, overall victories on fast tracks against the much more powerful and faster Ford GT40 for example, or another class competitor Ferrari Prototypes proved unrealistic.

At the 1000 km Nürburgring in 1967, a fleet of six factory cars were entered in an attempt to score the first overall win in Porsche's home event. Two of the three 8-cyl broke, and the remaining one finished fourth. The three 6-cyl won 1-2-3, though, giving Porsche its first outright win in a third major event of the World Sportscar Championship for Porsche, after the 1956 Targa Florio and the 12 Hours of Sebring in 1960.

In Le Mans, the new Porsche 907 ""long tails"" were already entered, finishing 5th in front of a 910 and two 906.

In hillclimbing, the career of the short and light open-top 910/8 ""Bergspyder"" version with its 8-cylinder continued, winning the 1967 and 1968 European championships. At the hillclimb of Ollon-Villars, which counted towards the World Sportscar Championship in 1967, the 910 even scored a 1-2, with Gerhard Mitter and Rolf Stommelen beating Herbert Müller and his big V12-Ferrari P.",
15,,Ferrari,330 GTC ('Gran Turismo Coupe'),1966,1968,598,"It was designed to fill the gap between the more sporty Ferrari 275 GTB and the larger, more luxurious Ferrari 330 GT 2+2.

The 330 GTC was designed by Pininfarina, Ferrari's longstanding design partner, and featured elegant, timeless styling.
It was powered by a front-mounted 4.0-liter Colombo V12 engine, producing around 300 horsepower.
The chassis was derived from the Ferrari 275 GTB, providing excellent handling and performance characteristics.

Despite its luxurious amenities, the Ferrari 330 GTC offered impressive performance and handling.
It was capable of reaching top speeds exceeding 150 mph (240 km/h) and could accelerate from 0 to 60 mph in around 6.5 seconds.",White coupe no number
15,,Ferrari,330 P3 (Prototype),1966,1966,4,"The Ferrari 330 P3 is a legendary sports prototype racing car produced by Ferrari in the mid-1960s.

The Ferrari 330 P3 made its debut in 1966 as the successor to the Ferrari 330 P2. It was designed to compete in endurance racing events, particularly in the Group 6 category, which included races such as the 24 Hours of Le Mans and the World Sportscar Championship.

The Ferrari 330 P3 was designed by Ferrari's in-house engineering team, led by Mauro Forghieri. It featured a sleek and aerodynamic body, optimized for high-speed performance on the racetrack. The car was powered by a mid-mounted 4.0-liter V12 engine, producing around 420 to 450 horsepower, depending on the specific configuration and tuning. The chassis was a tubular steel spaceframe, providing rigidity and stability under racing conditions.

The Ferrari 330 P3 enjoyed considerable success in motorsport, particularly in endurance racing events. It secured victories in prestigious races such as the 1000 km of Monza, the 1000 km of Spa, and the BOAC 500 at Brands Hatch. The 330 P3 also performed well in the World Sportscar Championship, competing against formidable opponents from other manufacturers such as Ford, Porsche, and Chaparral.

The Ferrari 330 P3 underwent several evolutions and updates during its racing career, including the development of the 330 P4 variant, which featured further refinements to the aerodynamics, engine, and chassis.",
15,,Ferrari,312 (F1),1966,1969,17,"The Ferrari 312 is a series of Formula One racing cars built and campaigned by Scuderia Ferrari during the 1960s and 1970s.

It was designed to compete in the Formula One World Championship, which was the premier racing series of the time.

The Ferrari 312 featured a mid-mounted engine layout, with various iterations of the car powered by different versions of Ferrari's V12 engine. The chassis and bodywork design evolved over the years, incorporating advancements in aerodynamics and engineering technology.

The Ferrari 312 achieved considerable success in Formula One racing during its competitive years. It secured multiple victories in Grand Prix races, including wins at iconic circuits such as Monza, Spa-Francorchamps, and Monaco.
Notable drivers who piloted the Ferrari 312 include John Surtees, Chris Amon, Jacky Ickx, and Clay Regazzoni.

The Ferrari 312 underwent several evolutions and updates over its racing career, with variants such as the 312B, 312B2, 312B3, and 312T introduced in subsequent seasons. These iterations featured improvements in chassis design, aerodynamics, and engine performance, reflecting Ferrari's ongoing pursuit of competitiveness in Formula One.

the Ferrari 312 is remembered fondly by motorsport enthusiasts, with surviving examples occasionally making appearances at historic racing events.",Red open wheel race car ('60's era) number 26
15,,Ferrari,412,1966,1967,<10,"The Ferrari 412P was a racing car developed by Ferrari in the mid-1960s specifically for endurance racing.

In the mid-1960s, Ferrari was heavily involved in sports car racing, particularly in endurance events such as the 24 Hours of Le Mans. The company had considerable success with models like the 250 P and 330 P series.

The Ferrari 412P was developed as an evolution of the 330 P3, which had debuted in 1966. The ""P"" designation stood for ""Prototype,"" indicating its purpose-built nature for endurance racing. The 412P was essentially an updated version of the 330 P3, featuring improvements in aerodynamics, handling, and reliability.

The Ferrari 412P was powered by a mid-mounted V12 engine, likely derived from the road-going Ferrari 330 series. It had a displacement of approximately 4.0 liters, hence the ""412"" designation. The engine was mated to a manual gearbox. The chassis was constructed using lightweight materials such as aluminum, with a focus on achieving a balance between strength and weight.

The Ferrari 412P made its racing debut in 1967, competing in various endurance events, including the World Sportscar Championship and the 24 Hours of Le Mans. Although it faced tough competition from Ford, Porsche, and other manufacturers, the 412P achieved notable success on the track, securing victories and podium finishes in several races.

The Ferrari 412P is remembered as one of the iconic racing cars of the 1960s, representing Ferrari's dominance in endurance racing during that era. Its sleek aerodynamic design, powerful engine, and competitive performance contributed to its success on the track and solidified its place in automotive history.

The 412P later evolved into the Ferrari 312P, which featured further refinements and updates. The 312P continued Ferrari's legacy in sports car racing, competing against formidable rivals until the early 1970s.

Overall, the Ferrari 412P played a significant role in Ferrari's motorsport heritage, showcasing the company's engineering prowess and racing pedigree during the golden age of endurance racing in the 1960s.",Yellow racecar with #33 and blue wheels
15,,Triumph Motor Company,TR5,1967,1968,"2,947","The Triumph TR5 is a classic British sports car produced by the Triumph Motor Company between 1967 and 1968. It is part of the TR series of sports cars, which began with the TR2 in 1953.

The Triumph TR5 was introduced as a successor to the TR4A, featuring a similar body shell but with significant mechanical updates. It was designed by Giovanni Michelotti, an Italian automotive designer who had collaborated with Triumph on several previous models.

The most significant change in the TR5 was the introduction of a fuel-injected 2.5-liter inline-six-cylinder engine, which was derived from the Triumph 2000 sedan. This engine, known as the ""CP"" (Commission Plate) engine, produced around 150 horsepower, making the TR5 one of the most powerful models in the TR series at the time. It was mated to a four-speed manual transmission with optional overdrive.

The TR5 retained the classic British sports car styling cues of its predecessors, including a long hood, short rear deck, and chrome accents. However, it featured updated details such as revised grille and badging. It was available in both convertible and coupe (known as ""TR5 PI"") versions.

Production of the Triumph TR5 was relatively limited, with only around 2,947 units built during its short production run. The TR5 was primarily sold in the European market, with a smaller number exported to other regions.

The Triumph TR5 received positive reviews from enthusiasts and the automotive press for its performance and handling. Its fuel-injected engine provided strong acceleration and responsive throttle response, enhancing the driving experience compared to its carbureted predecessors.

Despite its relatively short production run, the Triumph TR5 is highly regarded among classic car enthusiasts and collectors. Its rarity, performance, and distinctive styling contribute to its appeal as a collectible British sports car. Well-preserved examples of the TR5 command premium prices on the classic car market.

The Triumph TR5 was succeeded by the TR6, which featured a similar body shell but with a carbureted engine. The TR6 went on to become one of Triumph's best-selling models and enjoyed a longer production run from 1969 to 1976.

Overall, the Triumph TR5 holds a special place in automotive history as one of the most powerful and collectible models in the TR series, representing the pinnacle of Triumph's sports car engineering in the late 1960s.",
15,,Ford,Capri ,1968,1986,"1,900,000","The Ford Capri is a fastback coupé built by Ford of Europe, designed by Philip T. Clark, who was also involved in the design of the Ford Mustang.[1] It used the mechanical components from the Mk2 Ford Cortina and was intended as the European equivalent of the Ford Mustang. The Capri went on to be highly successful for Ford, selling nearly 1.9 million units in its lifetime. A wide variety of engines were used in the car throughout its production lifespan, which included the Essex and Cologne V6 at the top of the range, while the Kent straight-four and Taunus V4 engines were used in lower-specification models. Although the Capri was not officially replaced, the second-generation Probe was effectively its replacement after the later car's introduction to the European market in 1994.",
15,,Peugeot,504,1968,1983,>3.5 million,"The Peugeot 504 is a mid-size, front-engine, rear-wheel-drive automobile manufactured and marketed by Peugeot from 1968 to 1983 over a single generation, primarily in four-door sedan and wagon configurations – but also as twin two-door coupé and cabriolet configurations as well as pickup truck variants.

The sedan (berline) was styled by Aldo Brovarone of Pininfarina, and the coupé and cabriolet twins were styled by Franco Martinengo at Pininfarina, with wagon (break and familiale) and pickup (camionette) designed and sketches produced in-house at Peugeot.

The 504 was noted for its robust body structure, long suspension travel, high ground clearance, large wheels and torque tube driveshaft – enclosed in a rigid tube attached at each end to the gearbox housing and differential casing, relieving drivetrain torque reactions. The 504 ultimately achieved widespread popularity in far-flung rough-terrain countries – including Brazil, Argentina, Australia, Ivory Coast, Ghana, Cameroon, Benin, Kenya and Nigeria.

Body styles: 4-door, 5-door, 2-door coupe, 2-door convertible, 2-door pickup, 4-door pickup

It is estimated that 23,000 coupe and 8,100 cabriolets were made:

-The design of the Peugeot 504 Coupé was characterized by its elegant and timeless styling. It featured a long hood, short rear deck, and a distinctive sloping roofline, giving it a sporty and dynamic appearance. The coupe variant retained many design elements from the sedan but had a more athletic and streamlined profile.
-The Peugeot 504 Coupé was equipped with a range of features and amenities for its time, including comfortable seating, power windows, and a high-quality stereo system. The interior was well-appointed with premium materials and trim, reflecting Peugeot's commitment to craftsmanship and luxury.
-While the Peugeot 504 Coupé was primarily designed as a stylish and comfortable grand tourer, it also enjoyed success in motorsport, particularly in rallying. The 504 Coupe participated in various rally events, including the East African Safari Rally, where it demonstrated its durability and performance capabilities on rough terrain.
-The Peugeot 504 Coupé is fondly remembered as a classic car with timeless design and solid engineering. It was praised for its comfort, reliability, and driving dynamics, making it a popular choice among enthusiasts and collectors. Today, well-preserved examples of the 504 Coupé are sought after for their historic significance and aesthetic appeal.",Sedan and coupe models
15,,BMW,"3.5 CSL
(E9)",1968,1975,"30,546","The BMW E9 is a range of coupés produced from 1968 to 1975. Initially released as the 2800 CS model, the E9 was based on the BMW 2000 C / 2000 CS four-cylinder coupés, which were enlarged to fit the BMW M30 six-cylinder engine. The E9 bodywork was built by Karmann.

As a racing car, the E9 was very successful in the European Touring Car Championship and the Deutsche Rennsport Meisterschaft, especially the 3.0 CSL homologation model.

The racing variants were referred to as 'Batmobiles'. 167 of the road-going versions were made. A total of 1,265 CSL's were ever made.

The 3.5 CSL was built for Group 5 racing and BMW won three races in the 1976 World Championship for Makes with this model.",
15,,Chrysler,Plymouth Road Runner,1968,1980,"84,420","The Plymouth Road Runner is a mid-size car with a focus on performance built by Plymouth in the United States between 1968 and 1980. By 1968, some of the original muscle cars were moving away from their roots as relatively cheap, fast cars as they gained features and increased in price. Plymouth developed the Road Runner to market a lower-priced, basic trim model to its upscale GTX.

Plymouth paid $50,000 to Warner Bros.-Seven Arts to use the Road Runner name and likeness from their Wile E. Coyote and the Road Runner cartoons (as well as a ""beep, beep"" horn, which Plymouth paid $10,000 to develop).[1] The Road Runner was based on the Chrysler B platform (the same as the Belvedere and Satellite), as a back-to-basics mid-size performance car.",
15,,Ferrari,"365 GTB ('Gran Turismo Berlinetta')
(unofficially a.k.a. Daytona)",1968,1973,"1,284","The Ferrari Daytona is a two-seat grand tourer produced by Ferrari from 1968 to 1973. It was introduced at the Paris Auto Salon in 1968 to replace the 275 GTB/4, and featured the 275's Colombo V12 bored-out to 4,390 cc (4.4 L; 267.9 cu in). It was offered in berlinetta and spyder forms. The car came in two variants: the 365 GTB/4 coupe, and the 365 GTS/4 convertible.

The Daytona was succeeded by the mid-engined 365 GT4 Berlinetta Boxer in 1973.

The unofficial Daytona name is reported to have been applied by the media rather than Ferrari and commemorates Ferrari's 1-2-3 finish[3] in the February 1967 24 Hours of Daytona with a 330 P3/4, a 330 P4 and a 412 P.[4] To this day, Ferrari itself only rarely refers to the 365 as the ""Daytona"", and refers to it as an ""unofficial"" name.

Pininfarina designer Leonardo Fioravanti, who had previously worked on the Dino Ferrari's styling, was responsible for the 365 GTB/4.[7] It reflected a movement from Ferrari's traditional rounded designs to a more contemporary, sharp-edged look.[8]

Early Daytonas featured fixed headlights behind an acrylic glass cover. A new U.S. safety regulation banning headlights behind covers resulted in retractable pop-up twin headlights in 1971.

In the 1980s, a Daytona replica was prominently featured on the first two seasons of NBC's hit television series Miami Vice. The black car seen in early episodes was a kit car built on a Corvette C3 chassis. Altogether, two nearly identical cars were used simultaneously in the production of the TV series. Ferrari was not pleased that its company and one of their products was represented on TV by an imitation car and sued[13] the manufacturer of the kit for trademark infringement and trademark dilution. The Daytona replicas were retired at the beginning of the show's third season and replaced by two Ferrari-donated Testarossas, the company's newest flagship model at the time.

In 2004, the Daytona was voted top sports car of the 1970s by Sports Car International magazine. Similarly, Motor Trend Classic named the 365 GTB/4 and GTS/4 as number two in their list of the ten ""Greatest Ferraris of all time"".",White with red striping and # 32
15,,Mercedes Benz,"200D
(W114)",1968,1976,"1,852,008 (sedan)
67,048 (coupe)","The Mercedes-Benz W114 is a series of executive cars manufactured by Mercedes-Benz from 1968 to 1976.

The W114 was introduced as a replacement for the aging ""Fintail"" models (W110 and W111) and was positioned between the smaller W115 and the larger W108/W109 series. It was part of Mercedes-Benz's midsize lineup and was available in various body styles, including sedan, coupe, and convertible.

The W114 featured a more modern and streamlined design compared to its predecessors. It was styled by designer Paul Bracq and showcased a clean and understated exterior with crisp lines and a squared-off appearance. The design was practical and timeless, emphasizing durability and functionality.

The W114 shared many components and design elements with the W115 series, including its platform and suspension setup. However, the W114 featured more powerful engines and higher levels of luxury and refinement. It was known for its robust construction, reliability, and longevity, earning it a reputation as a durable and dependable vehicle.

The W114 was offered in several body styles and engine configurations to cater to a wide range of customers. The sedan variant was the most popular, but Mercedes-Benz also produced coupe and convertible versions, which were known for their elegant styling and comfortable cruising capabilities.

The W114 was available with a variety of inline-four and inline-six engines, ranging from 2.3 to 2.8 liters in displacement. These engines were mated to either manual or automatic transmissions, providing smooth and responsive performance for everyday driving.

The W114 featured a spacious and well-appointed interior with comfortable seating, high-quality materials, and modern amenities for its time. It offered a smooth and refined driving experience, with precise steering and handling characteristics that emphasized comfort and stability on the road.

The Mercedes-Benz W114 is remembered as a reliable, practical, and well-built vehicle that served as a workhorse for families, professionals, and taxi operators around the world. Its durability and longevity have contributed to its continued popularity among enthusiasts and collectors, who appreciate its classic styling, solid construction, and Mercedes-Benz engineering heritage.",
15,,General Motors,"Chevelle
(2nd Generation)",1968,1972,"4,099,716","The Chevrolet Chevelle is a classic American muscle car produced by General Motors under the Chevrolet brand. It has a rich history that spans several decades, beginning in the 1960s.

The Chevrolet Chevelle was introduced in 1964 as a mid-sized car to compete with other muscle cars of the era, such as the Ford Fairlane and Plymouth Belvedere. It was available in several body styles, including sedan, coupe, convertible, and station wagon. Initially offered with inline-six and V8 engines, it gained popularity for its performance and style.

First Generation (1964-1967): The first generation of the Chevelle was characterized by its sleek design and powerful engine options. It underwent some design changes during this period, with updates to the grille, headlights, and other exterior features.

Second Generation (1968-1972): (Model on display is 1970 SS Hardtop Coupe) The Chevelle underwent a significant redesign for its second generation. It became larger and more muscular, reflecting the trends of the late 1960s and early 1970s. The SS (Super Sport) trim was introduced during this time, offering high-performance versions with larger engines and enhanced features.

Muscle Car Era: The Chevelle gained fame during the muscle car era, with iconic models such as the SS 396 and SS 454. These models featured powerful engines and aggressive styling, making them popular choices among enthusiasts and drag racers.

End of Production (1973-1977): The oil crisis of the early 1970s and tightening emissions regulations led to the decline of muscle cars, including the Chevelle. Production continued until 1977, with the final years seeing a shift towards smaller, more fuel-efficient models.

Despite its relatively short production run, the Chevrolet Chevelle left a lasting legacy in the automotive world. It remains highly sought after by collectors and enthusiasts, with restored models commanding high prices at auctions.

While the original Chevelle production ended in the 1970s, its influence can still be seen in modern muscle cars and retro-inspired designs. Chevrolet has occasionally revisited the Chevelle nameplate for concept cars and special editions, keeping its spirit alive in the hearts of automotive enthusiasts.

Overall, the Chevrolet Chevelle is remembered as a classic American muscle car that embodied the performance and style of its era. Its timeless design and powerful engines continue to capture the imagination of car enthusiasts around the world.",
